마을명,시군구명,읍면동명,행정리명,관광지명,관광지유형,소재지도로명주소,소재지지번주소,위도,경도,면적,지정일자,수용인원수,주차가능수,관광지소개,휴무일,운영시간,요금정보,주요목적,편의시설,관리기관명,관리기관전화번호,데이터기준일자
남원1리마을,서귀포시,남원읍,남원1리,금호제주리조트 아쿠아나,워터파크,제주특별자치도 서귀포시 남원읍 태위로 522-12,제주특별자치도 서귀포시 남원읍 남원리 2390,33.27264281,126.7014326,,,,,바다와 한라산 전망을 동시에 누리는 Seaside Resort,매월1번째월요일,,11000원(온천탕성인)+9000원(온천탕어린이)+22000원(아쿠아나주중성인)+20000원(아쿠아나주중어린이)+26000원(아쿠아나주말성인)+21000원(아쿠아나주말어린이)+30000원(아쿠아나성수기성인)+26000원(아쿠아나성수기어린이),관광+포토,공용주차장+현금결제+카드결제+화장실+무료WIFI+금연구역+편의점+음료대+유도 및 안내시설+경보 및 피난시설+임산부휴게시설+엘리베이터,금호제주리조트,,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,큰엉해안경승지,자연명소,제주특별자치도 서귀포시 남원읍 태위로 522-17,제주특별자치도 서귀포시 남원읍 남원리 2379-3,33.27334251,126.7037085,,,,,때묻지 않은 기암절벽이 아름다운 해양경승지,연중무휴,(평일+주말+공휴일)11:00~20:00,무료,포토스팟,공중화장실,제주특별자치도 서귀포시 남원읍사무소,064-760-4181,2022-09-30
남원1리마을,서귀포시,남원읍,남원1리,코코몽 에코파크,테마파크,제주특별자치도 서귀포시 남원읍 태위로 536,제주특별자치도 서귀포시 남원읍 남원리 2380 ,33.27455804,126.7058511,,,,,아이들의 오감을 자극하는 친환경 프리미엄 테마파크,화요일,(평일+주말+공휴일)10:00~18:00,25000원(24개월이상13세까지아동)+15000원(중학생이상성인+장애아동)+무료(24개월미만유아)+9500원(장애성인)+3000원(코코몽기차1회탑승권+카레이싱1회이용권)+6000원(자유이용권),관광+포토,화장실+주차장,제주에코빌리지,1661-4284,2022-09-30
수망리마을,서귀포시,남원읍,수망리,마흐니 숲길,숲길,,제주특별자치도 서귀포시 남원읍 수망리 산203,33.37944666,126.6551931,,,,,사색을 즐기며 걷기 좋은 숲길,연중무휴,,무료,걷기,,제주특별자치도 서귀포시 남원읍 수망리사무소,064-764-1089,2022-09-30
수망리마을,서귀포시,남원읍,수망리,물영아리오름,오름,,제주특별자치도 서귀포시 남원읍 수망리 산 189,33.3708091,126.6935196,717013,2000-12-05,,,신령스러운 산이라는 뜻의 '영아리'와 분화구에 물이 고인 습지를 품고 있기에 '물'이라는 접두어가 붙은 오름,연중무휴,,무료,걷기+등산,주차장+편의점,제주도청,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,양금석가옥,문화재,제주특별자치도 서귀포시 남원읍 신례로298번길 3-6,제주특별자치도 서귀포시 남원읍 신례1리 1314,33.29131729,126.6284804,,1978-11-14,,,제주도 전통 초가 양식으로 이루어진 가옥,연중무휴,,무료,관람,,제주도청 ,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,동백포레스트,식물원+수목원,제주특별자치도 서귀포시 남원읍 생기악로 53-38,제주특별자치도 서귀포시 남원읍 신례리 1767,33.30030681,126.6361998,,,,,사진찍기 좋은 신례리 동백나무 군락지,월요일+화요일,(평일+주말+공휴일)10:00~18:00,4000원(성인)+3000원(제주도민+초등학생+경로)+무료(미취학아동+국가유공자),관광+포토,현금결제+신용카드+반려동물동반,동백포레스트,0507-1331-2102,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,이승이오름(이승악),오름,,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,33.34014394,126.6222444,332070,,,,살쾡이를 닮아서 이승이란 이름을 갖게 된 오름,연중무휴,,무료,걷기+등산,화장실+정자+주차장,제주도청 ,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,사라오름,오름,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.37192793,126.5708337,62863,2011-10-13,,,노루 떼가 뛰어노는 모습이 한 폭의 그림 같은 곳임,연중무휴,,무료,걷기+등산,,제주도청 ,064-120,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,휴애리 자연생활공원,자연공원,제주특별자치도 서귀포시 남원읍 신례동로 256,제주특별자치도 서귀포시 남원읍 신례리 2081,33.3093861,126.635405,65000,2007-05-05,2000,200,자연 속 동식물들과 교감이 있는 체험형 자연생활공원,연중무휴,(평일+주말+공휴일)09:00~18:00,13000원(성인)+11000원(청소년+성인단체)+10000원(어린이)+9000원(청소년단체)+8000원(어린이단체)+6500원(경로+유공자성인+장애인성인+제주도민성인)+5500원(유공자청소년+장애인청소년+제주도민청소년)+5000원(유공자어린이+장애인어린이+제주도민어린이),체험+공연+전시+포토스팟,공용주차장+현금결제+카드결제+화장실+무료WIFI+편의점+음료대+유도 및 안내시설+경보 및 피난시설+임산부휴게시설,휴애리,064-732-2114,2022-09-30
신례1리마을,서귀포시,남원읍,신례1리,제주 신례리 왕벚나무 자생지,천연기념물,,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,33.33820947,126.6096904,186485,1964-01-31,,,제주시에서 서귀포시로 가는 길목 산자락에 자리하고 있는 나무,연중무휴,,무료,관광+포토,,제주도청 ,064-120,2022-09-30
신례2리마을,서귀포시,남원읍,신례2리,공천포구,포구,,제주특별자치도 서귀포시 남원읍 신례리 72-18,33.26338571,126.6418425,,,,,검은 돌과 검은 모래가 가득한 바다,연중무휴,,무료,관광+포토,,제주특별자치도 서귀포시 남원읍 신례2리사무소,064-767-0544,2022-09-30
신흥2리마을,서귀포시,남원읍,신흥2리,예절이오름(여절악),오름,,제주특별자치도 서귀포시 남원읍 신흥리 산 18,33.34893211,126.7364605,110552,,,,정상에서 바라보는 말굽형 모양의 예절이오름,연중무휴,,무료,걷기+등산,,제주도청 ,064-120,2022-09-30
위미1리마을,서귀포시,남원읍,위미1리,스프링데일CC,골프장,제주특별자치도 서귀포시 남원읍 서성로 459번지,제주특별자치도 서귀포시 남원읍 위미리 4625,33.32935251,126.6384742,25785,,,,해발 400고지에 위치한 여름에는 시원하고 겨울에는 따뜻한 기온의 골프장,연중무휴,(평일+주말+공휴일)06:00~21:00,111000원(주중18홀)+141000원(토요일+공휴일)+80000원(카트비)+120000원(캐디비),골프,공용주차장+현금결제+카드결제+화장실+무료WIFI+흡연구역+편의점+음료대+유도 및 안내시설+경보 및 피난시설,스프링데일CC,064-800-8000,2022-09-30
위미1리마을,서귀포시,남원읍,위미1리,이음새,체험,,제주특별자치도 서귀포시 남원읍 위미리 4137-1,33.27578785,126.651431,,,,,"감귤 따기 체험, 감물염색 체험 등 체험을 할 수 있는 천연염색체험장",목요일,(평일+주말+공휴일)10:00~17:00,55000원(혼합봉10kg)+35000원(꼬마봉10kg),체험,,이음새농촌교육농장,064-764-3773,2022-09-30
위미3리마을,서귀포시,남원읍,위미3리,위미동백나무군락,기념물,제주특별자치도 서귀포시 위미중앙로300번길 23-7,제주특별자치도 서귀포시 남원읍 위미리 903-1,33.27292969,126.6747236,,1982-05-08,,,"사철 푸른 동백과 새, 감귤원과 함께 남국의 정취를 느낄 수 있음",연중무휴,,무료,관광+포토,,제주도청 ,064-120,2022-09-30
위미3리마을,서귀포시,남원읍,위미3리,"자배봉(자배오름, 망오름)",오름,,제주특별자치도 서귀포시 남원읍 위미리 산 132-2,33.30098962,126.6769199,440293,,,,생태숲과 유적지를 가지고 있는 자배봉,연중무휴,,무료,걷기+등산,화장실+정자+주차장,제주도청 ,064-120,2022-09-30
위미3리마을,서귀포시,남원읍,위미3리,태웃개,체험,제주특별자치도 서귀포시 남원읍 태위로398번길 68,제주특별자치도 서귀포시 남원읍 위미리 69,33.27038829,126.6911068,,,,,여유롭게 물놀이를 즐기며 해안 절경을 감상할 수 있는 곳임,연중무휴,,무료,체험,,제주특별자치도 서귀포시 남원읍 위미3리사무소,064-764-2720,2022-09-30
의귀리마을,서귀포시,남원읍,의귀리,의귀리 김만일묘역,문화재,,제주특별자치도 서귀포시 남원읍 의귀리 1773,33.32216083,126.709273,,2009-07-29,,,제주 고유의 석물문화를 밝히는 자료,연중무휴,,무료,관광,,경주김씨제주도종친회,064-755-7543,2022-09-30
태흥2리마을,서귀포시,남원읍,태흥2리,옥돔마을,관광,제주특별자치도 서귀포시 남원읍 남태해안로 508,제주특별자치도 서귀포시 남원읍 태흥리 364-4,33.2870209,126.7501733,,,,,옥돔 경매 구경 및 옥돔 요리 먹을 수 있는 곳임,연중무휴,,무료,관광+포토,,제주특별자치도 서귀포시 남원읍 태흥2리사무소,064-764-0183,2022-09-30
하례1리마을,서귀포시,남원읍,하례1리,걸서악오름,오름,제주특별자치도 서귀포시 남원읍 하례로 393,제주특별자치도 서귀포시 남원읍 하례리 산 124번지,33.28228456,126.6200543,58199,,,,"시원한 하례리 마을 풍경과 범섬, 섭섬 풍경을 한번에 볼 수 있는 오름",연중무휴,,무료,걷기+등산,화장실+정자+주차장,제주도청 ,064-120,2022-09-30
하례1리마을,서귀포시,남원읍,하례1리,제주농업생태원,체험,제주특별자치도 서귀포시 남원읍 중산간동로 7413,제주특별자치도 서귀포시 남원읍 하례리 1558,33.28862074,126.609863,80733,,,,감귤에 대한 모든 궁금증을 풀어주는 곳,연중무휴,(평일+주말+공휴일)10:00~17:00,무료,체험+전시,,서귀포농업기술센터,064-760-8711,2022-09-30
하례2리마을,서귀포시,남원읍,하례2리,효명사,사찰,제주특별자치도 서귀포시 남원읍 516로 815-41,제주특별자치도 서귀포시 남원읍 하례리 산 45,33.32328748,126.5941628,,,,,한라산 중턱에 위치한 소박한 사찰,연중무휴,,무료,휴식+힐링,,효명사,064-733-4950,2022-09-30
하례2리마을,서귀포시,남원읍,하례2리,고살리숲길,숲길,,제주특별자치도 서귀포시 남원읍 하례리 산 54-2,33.31714129,126.5985137,,,,,연중 물이 고이고 흐르는 계속에 나무들이 조화를 이루는 숲길,연중무휴,(평일)10:00~16:00+(주말)14:00~16:00,무료,숲길탐방,공용주차장,하례리생태관광마을협의체,064-733-8009,2022-09-30
하례2리마을,서귀포시,남원읍,하례2리,수악,오름,제주특별자치도 서귀포시 남원읍 516로 1042,제주특별자치도 서귀포시 남원읍 하례리 산 10,33.3246324,126.6093992,273067,,,,가슴을 청아하게 물들이는 오름,연중무휴,,무료,걷기+등산,,제주도청 ,064-120,2022-09-30
한남리마을,서귀포시,남원읍,한남리,머체왓숲길,숲길,제주특별자치도 서귀포시 남원읍 서성로 755,제주특별자치도 서귀포시 남원읍 한남리 1622-3,33.3305303,126.673919,,,,,다양한 테마가 어우러진 숲길임,연중무휴,(평일+주말+공휴일+하절기)08:30~18:30+(평일+주말+공휴일+동절기)09:00~19:00,무료,걷기+체험,공용주차장+현금결제+카드결제+화장실+무료WIFI+흡연구역+음료대+유도 및 안내시설+경보 및 피난시설,머체왓숲길,064-805-3113,2022-09-30
한남리마을,서귀포시,남원읍,한남리,사려니오름,오름,,제주특별자치도 서귀포시 남원읍 한남리 산 2-1,33.34008502,126.6458498,260107,,,0,볼록한 제주 오름들이 한눈에 보이는 오름,월요일+화요일+산불조심기간(매년 11월 1일~ 5월 15일),(평일+주말+공휴일)09:00~17:00,무료,걷기+등산,,제주도청,064-120,2022-09-30
가파리마을 ,서귀포시,대정읍,가파리,가파도,섬,,제주특별자치도 서귀포시 대정읍 가파리 276,33.1700117,126.2714146,840000,,,,제주도 부속섬 중 4번째로 큰 섬임,,,,,화장실+무료WIFI,제주특별자치도 서귀포시 대정읍 가파리사무소,064-794-7130,2022-09-30
구억마을,서귀포시,대정읍,구억리,노리매,테마파크,제주특별자치도 서귀포시 대정읍 중산간서로 2260-15,제주특별자치도 서귀포시 대정읍 구억리 654-1,33.28309895,126.2873486,,,,,사계절이 머무는 자연 속에서 여유롭게 산책할 수 있는 공원,연중무휴,(평일+주말+공휴일)09:00~18:00,9000원(성인개인)+7000원(성인단체)+6000원(청소년개인+군인개인+유공자개인+경로개인+장애인개인)+5000원(청소년단체+군인단체+유공자단체+경로단체+장애인단체+어린이개인)+4000원(어린이단체),공원,주차장+현금결제+카드결제+화장실+무료WIFI,노리매,064-792-8211,2022-09-30
마라리마을,서귀포시,대정읍,마라리,대한민국최남단비,기념물,제주특별자치도 서귀포시 대정읍 마라로 131,제주특별자치도 서귀포시 대정읍 가파리 583-9,33.11377176,126.2685579,,,,,최남단을 상징하는 기념비,,,,기념비,,,,2022-09-30
마라리마을,서귀포시,대정읍,마라리,마라도 등대,등대,제주특별자치도 서귀포시 대정읍 마라로 165,제주특별자치도 서귀포시 대정읍 가파리 639,33.11664905,126.2695118,,,,,대한민국 최남단에 위치한 푸른 잔디밭 끝에 걸쳐 바다를 향하고 있는 마라도 등대,연중무휴,(평일+주말+공휴일)09:00~18:00,,,,마라도항로표지관리소,064-792-8507,2022-09-30
마라리마을,서귀포시,대정읍,마라리,초콜렛캐슬,박물관,제주특별자치도 서귀포시 대정읍 마라로 113,제주특별자치도 서귀포시 대정읍 가파리 685,33.11392085,126.2672697,,,,,초콜릿을 주제로 전시된 작품이 있는 박물관,,,,박물관,,,,2022-09-30
마라리마을,서귀포시,대정읍,마라리,마라도,섬,,제주특별자치도 서귀포시 대정읍 가파리 600,33.11848589,126.2671688,300000,,,,대한민국 최남단에 위치한 섬,,,,,화장실+무료WIFI,제주특별자치도 서귀포시 대정읍 마라리사무소,064-792-4663,2022-09-30
마라리마을,서귀포시,대정읍,마라리,가파초등학교 마라분교장,포토스팟,제주특별자치도 서귀포시 대정읍 마라로 58,제주특별자치도 서귀포시 대정읍 가파리 696,33.11924732,126.2667098,9636,,,,마라도에 위치한 분교이며 관광객들 포토존,,,,학교,,,,2022-09-30
무릉도원마을,서귀포시,대정읍,무릉2리,무릉곶자왈,숲,,제주특별자치도 서귀포시 대정읍 무릉리 산 1,33.29155108,126.2625449,,,,,자연 그대로를 간직한 제주도만의 독특한 숲,연중무휴,,,숲,,,,2022-09-30
보성리마을,서귀포시,대정읍,보성리,엉클리틀,관광농원,제주특별자치도 서귀포시 대정읍 보성상로 88,제주특별자치도 서귀포시 대정읍 보성리 989,33.25599076,126.2646735,,,,,관광농원 및 팜스테이,,,,농촌관광,,엉클리틀,0507-1408-5060,2022-09-30
보성리마을,서귀포시,대정읍,보성리,제주곶자왈도립공원,도립공원,제주특별자치도 서귀포시 대정읍 에듀시티로 178,제주특별자치도 서귀포시 대정읍 보성리 산1,33.28319972,126.2736047,1546757,,,,암괴들이 불규칙하게 널려있는 지대에 형성된 숲,연중무휴,(평일+주말+공휴일+하절기)09:00~18:00+(평일+주말+공휴일+동절기)09:00~18:00,1000원(성인)+800원(청소년+군인)+500원(어린이),도립공원,주차장+현금결제+카드결제+화장실+무료WIFI,제주곶자왈도립공원,064-792-6047,2022-09-30
상모1리마을,서귀포시,대정읍,상모1리,발자국화석공원,자연명소,제주특별자치도 서귀포시 대정읍 형제해안로 192,제주특별자치도 서귀포시 대정읍 상모리 626-1,33.21735034,126.2931434,,,,,천연기념물 제464호로 지정되어 있으며 다양한 생물의 발자국 화석을 볼 수 있는 곳,,,,,,발자국화석공원,064-710-6804,2022-09-30
상모3리마을,서귀포시,대정읍,상모3리,송악산진지동굴,동굴,,제주특별자치도 서귀포시 대정읍 상모리 194-2,33.20333105,126.2917117,,,,,2차 대전 당시 대정읍에 만든 국내 최대의 일제시대 군사유적지,,,,,,,,2022-09-30
상모3리마을,서귀포시,대정읍,상모3리,송악카트체험장,레포츠시설,제주특별자치도 서귀포시 대정읍 송악관광로 404,제주특별자치도 서귀포시 대정읍 상모리 139,33.20850906,126.2894204,,,,,송악산 근처 레포츠시설 카트체험장,연중무휴,(평일+주말+공휴일+하절기)09:00~18:30+(평일+주말+공휴일+동절기)09:00~17:00,25000원(성인+청소년+어린이)+5000원(유아동승),체험,,송악카트체험장,064-794-1717,2022-09-30
상모3리마을,서귀포시,대정읍,상모3리,알뜨르비행장,문화유적지,,제주특별자치도 서귀포시 대정읍 상모리 1670,33.20471796,126.2715241,1320000,2006-12-04,,,1945년 무렵에 만들어진 일본 해군 비행장의 부속 시설,연중무휴,,,,유도 및 안내시설,제주도청,064-120,2022-09-30
상모3리마을,서귀포시,대정읍,상모3리,섯알오름 ,오름 ,,제주특별자치도 서귀포시 대정읍 상모리 1593-2,33.20647842,126.2812239,29094,,,,역사의 아픔을 간직한 오름,,,,,,제주도청,064-120,2022-09-30
상모3리마을,서귀포시,대정읍,상모3리,송악산 전망대,전망대 ,,제주특별자치도 서귀포시 대정읍 상모리 산 2-13,33.19848191,126.2939734,,,,,해안을 따라 펼쳐진 주변 경관을 감상할 수 있어 관광객들이 많이 찾는 곳,,,,,,,,2022-09-30
안성리마을,서귀포시,대정읍,안성리,제주 추사관,유적지,제주특별자치도 서귀포시 대정읍 추사로 44,제주특별자치도 서귀포시 대정읍 안성리 1661-1,33.24997529,126.2782283,1618,2010-12-27,,,조선 후기 문신이자 서화가였던 추사 김정희 선생이 제주 유배지에서 역작 「세한도」와 추사체(秋史體)를 창출해 낸 업적을 기리는 곳으로 김정희 선생이 유배생활을 하며 남긴 흔적들을 볼 수 있음,월요일,(평일+주말+공휴일)09:00~18:00,무료,관람,주차장+화장실,제주 추사관,064-710-6803,2022-09-30
영락리마을,서귀포시,대정읍,영락리,제주도예촌,관람,제주특별자치도 서귀포시 대정읍 암반수마농로 433,제주특별자치도 서귀포시 대정읍 영락리 6,33.26490673,126.2355517,,,,,유약없이 도자기를 직접 굽는 곳으로 제주만의 도자기를 볼 수 있는 제주의 숨겨진 명소,,(평일)10:00~17:00,,관람,주차장+화장실,제주도예촌,064-792-0052,2022-09-30
일과2리마을,서귀포시,대정읍,일과2리,초콜릿박물관,박물관,제주특별자치도 서귀포시 대정읍 일주서로3000번길 144,제주특별자치도 서귀포시 대정읍 일과리 551-18,33.25703747,126.2299943,,2010-05-28,,,초콜릿의 역사와 지구상 모든 초콜릿에 대하여 알아갈 수 있는 초콜릿 박물관임,연중무휴,(평일+주말+공휴일)10:30~17:00,7000원(성인+중학생이상)+6500원(성인단체+중학생단체)+5000원(6세부터13세까지)+4500원(6세부터13세까지단체),관람,주차장+화장실,초콜릿박물관,064-792-3121,2022-09-30
하모1리마을,서귀포시,대정읍,하모1리,하모해변,해변,,제주특별자치도 서귀포시 대정읍 하모리 279,33.21129293,126.2608081,,,,,"안전사고 우려가 높아 현재는 폐장된 상태이며, 올레 10코스 지점 중 하나이며 해변 근처에 유료 야영장이 존재함, 여름 성수기에는 바닷속을 걸어 다니는 ‘씨워킹’이라는 이색 해양 스포츠를 경험할 수 있음",연중무휴,(평일+주말+공휴일)00:00~24:00,무료,해변,공용주차장+화장실,,064-760-2772,2022-09-30
고성리마을,서귀포시,성산읍,고성리,제주커피박물관 Baum,박물관,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,제주특별자치도 서귀포시 성산읍 고성리 2040-1,33.43987825,126.8992088,,2016-02-26,,,숲과 함께 다채로운 커피의 향을 즐길 수 있는 곳,연중무휴,(평일+주말+공휴일+하절기)09:00~19:00+(평일+주말+공휴일+동절기)09:00~18:00,7000원(바움라떼)+7500원(아인슈페너)+5000원(에스프레소),전시+체험,단체석+주차장+포장+배달+무료WIFI+화장실,제주커피박물관,064-784-2255,2022-09-30
고성리마을,서귀포시,성산읍,고성리,대수산봉,오름,,제주특별자치도 서귀포시 성산읍 고성리 2039-1,33.43967057,126.9016368,260522,,,,성산일출봉과 섭지코지가 아름답게 내려다 보이는 곳,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산,,제주도청,064-120,2022-09-30
고성리마을,서귀포시,성산읍,고성리,빛의벙커,전시관,제주특별자치도 서귀포시 성산읍 서성일로1168번지 89-17,제주특별자치도 서귀포시 성산읍 고성리 2039-22,33.43964883,126.8998166,,,,,옛 국가기간 통신시설 벙커를 재생하여 거장들의 작품을 빛과 음악을 통해서 감상하는 빛의 벙커,연중무휴,(평일+주말+공휴일+하절기)10:00~19:00+(평일+주말+공휴일+동절기)10:00~18:00,18000원(성인)+13000원(청소년)+10000원(어린이)+8000원(4세이상7세까지+장애인+국가유공자)+12600원(제주도민성인)+9100원(제주도민청소년)+7000원(제주도민어린이)+5600원(제주도민4세이상7세까지+장애인+국가유공자),공연+전시,주차장+화장실+장애인편의시설,(주)티모넷제주지점,1522-2653,2022-09-30
난산리마을,서귀포시,성산읍,난산리,쿠지홀리데이팜,관광농원,제주특별자치도 서귀포시 성산읍 난산로 50,제주특별자치도 서귀포시 성산읍 난산리 1097,33.40218696,126.8708197,,,,,천혜향 따기 체험과 구매를 할 수 있는 농원,연중무휴,(평일+주말+공휴일)10:00~16:00,10000원(성인+청소년+어린이),체험,주차장,쿠지홀리데이,0507-1308-8733,2022-09-30
난산리마을,서귀포시,성산읍,난산리,아일랜드플라워,농장카페,제주특별자치도 서귀포시 성산읍 서성일로 602,제주특별자치도 서귀포시 성산읍 난산리 2236,33.42432256,126.8496372,,,,,제주도 남쪽 동부에 위치한 아일랜드 플라워 동물원,연중무휴,(평일+주말+공휴일)10:00~18:00,7000원(성인+청소년)+5000원(어린이),체험+산책로,반려동물동반+주차장,아일랜드플라워팜,064-782-0955,2022-09-30
난산리마을,서귀포시,성산읍,난산리,모구리오름,오름,제주특별자치도 서귀포시 성산읍 서성일로 260,제주특별자치도 서귀포시 성산읍 난산리 2960-1,33.40901972,126.8286384,202089,,,,편백나무 숲이 있는 오름,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산,공용주차장+화장실,제주도청,064-120,2022-09-30
난산리마을,서귀포시,성산읍,난산리,유건에오름,오름,,제주특별자치도 서귀포시 성산읍 난산리 2302,33.41322123,126.8458048,204487,,,,북쪽과 서쪽의 봉우리가 이어져 1km의 능선을 이루고 있는 오름,연중무휴,(평일+주말+공휴일)00:00~24:00,무료,등산,,제주도청,064-120,2022-09-30
난산리마을,서귀포시,성산읍,난산리,베니스랜드,테마파크,제주특별자치도 서귀포시 성산읍 서성일로 474,제주특별자치도 서귀포시 성산읍 난산리 2570,33.41527273,126.8407105,,2015-06-22,,,제주에서 만나는 아름다운 수상도시 베니스 여행,연중무휴,(평일+주말+공휴일)09:00~18:00,12000원(성인)+10000원(청소년)+8000원(어린이),체험+공연+전시+포토스팟,공용주차장+현금결제+카드결제+화장실+흡연구역+편의점+음료대+유도 및 안내시설+경보 및 피난시설,더베니스랜드,064-784-6565,2022-09-30
삼달1리마을,서귀포시,성산읍,삼달1리,김영갑갤러리두모악,갤러리,제주특별자치도 서귀포시 성산읍 삼달로 137,제주특별자치도 서귀포시 성산읍 삼달리 437-5,33.37189885,126.854144,,,,,두모악에는 제주를 매우 사랑하며 두모악에 잠든 김영갑 선생의 20여년간의 작품들이 전시,수요일+명절(추석+설날),(하절기)09:30~18:30+(동절기)09:30~17:00+(간절기)09:30~18:00,4500원(성인)+3000원(청소년+군인+국가유공자+제주도민)+1500원(어린이+65세이상경로)+무료(3세이하+장애인),관광지,,김영갑갤러리두모악,064-784-9907,2022-09-30
삼달1리마을,서귀포시,성산읍,삼달1리,고흐의정원,관람,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,제주특별자치도 서귀포시 성산읍 삼달리 1185-2,33.37335804,126.8437071,,,,,위대한 작가 반고흐의 지난 삶을 보고 듣고 만질 수 있는 고흐의 정원,연중무휴,(평일+주말+공휴일)09:30~18:30,12000원(성인)+10000원(청소년+20명단체성인)+8000원(어린이+제주도민성인+제주도민청소년+20명단체청소년)+6000원(제주도민어린이+20명단체어린이),관광지,화장실+카페+주차장,,064-783-6700,2022-09-30
삼달1리마을,서귀포시,성산읍,삼달1리,블루마운틴4255,복합문화공간,제주특별자치도 서귀포시 성산읍 중산간동로 4255,제주특별자치도 서귀포시 성산읍 삼달리 1510-1,33.38006916,126.8373142,,,,,향긋한 커피의 공간 블루마운틴 커피박물관,연중무휴,(평일+주말+공휴일)09:00~18:00,12000원(커피족욕)+15000원(전동킥보드1시간)+20000원(전동킥보드2시간),체험+카페,,블루마운틴4255,064-782-0428,2022-09-30
삼달2리마을,서귀포시,성산읍,삼달2리,미천굴,동굴,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30 일출랜드,제주특별자치도 서귀포시 성산읍 삼달리 1010,33.38344811,126.84266,,,,,"길이 1,695 m이며, 신생대 제4기 초에 생겨난 용암굴",연중무휴,(평일+주말+공휴일)08:30~18:00,9000원(성인)+8000원(경로)+6000원(청소년)+5000원(어린이),관광지,,일출랜드,064-784-2080,2022-09-30
삼달2리마을,서귀포시,성산읍,삼달2리,일출랜드,테마파크,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010,33.38342648,126.8415988,,,,,"미천굴을 중심으로 사계절 제주 토종 식물과 꽃의 축제가 열리는 제주 청정 자연의 생태, 문화, 체험이 가능한 웰니스 관광지",연중무휴,(평일+주말+공휴일)09:00~18:00,9000원(성인)+8000원(경로)+6000원(청소년)+5000원(어린이+감귤체험),관광지,,일출랜드,064-784-2080,2022-09-30
성산리마을,서귀포시,성산읍,성산리,성산일출봉,봉우리,제주특별자치도 서귀포시 성산읍 일출로 284-12,제주특별자치도 서귀포시 성산읍 성산리 114,33.45911604,126.9405375,,,,,제주도의 다른 오름들과는 달리 마그마가 물속에서 분출하면서 만들어진 수성화산체,매월1번째월요일,(평일+주말+하절기)07:00~20:00+(평일+주말+동절기)07:30~19:00,5000원(성인)+4000원(성인단체)+2500원(청소년+군인+어린이)+2000원(청소년단체+군인단체+어린이단체),관광지,,세계자연유산 제주본부,064-783-0959,2022-09-30
